編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLQJRHGGFCN56DA,坡道機械,0,,
RPSNMLSJRHGGFBN76DA,坡道平面,0,,
RPQOMLNKRHGGFAN78DA,坡道平面,0,,地下二樓
RPWNMLTJRHGGFDN47DA,一樓平面,0,,
RPPNMLNKRHGGFAN68EA,坡道平面,0,,地下一樓
RPPNMLNKRHGGFAN68EA,坡道平面,0,,地下一樓
RPTOMLNJRHGGFDN66DA,升降機械,0,6.73,
RPXOMLNKRHGGFAN86DA,一樓平面,0,,一樓
RPXOMLNKRHGGFAN86DA,一樓平面,0,,一樓
RPQNMLQKQHGGFCN09DA,坡道平面,0,,
RPOPMLKKRHGGFDN68DA,坡道平面,0,31.61,
RPTNMLPKRHGGFDN86DA,坡道機械,0,,
RPSNMLLKRHGGFDN98DA,坡道機械,0,,
RPTOMLNKRHGGFAN09DA,升降平面,0,,地下一樓
